in_holocene_study,Family,Feeding,Piscivore,Habit,Reef_associated,Cryptobenthic,Gross_habitat,harvested_archaeo,harvested_modern,harvested_combined,prey_of_harvested_fishes,Order,Class
No,Bathyclupeidae,planktivore,No,bathypelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Acropomatiformes,Actinopterygii
Yes,Belonidae,piscivore,Yes,pelagic,No,Not cryptobenthic,Marine,Yes,No,Yes,No,Beloniformes,Actinopterygii
No,Berycidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Beryciformes,Actinopterygii
Yes,Carangidae,piscivore,Yes,demersal,Yes,Not cryptobenthic,Marine,Yes,Yes,Yes,No,Carangiformes,Actinopterygii
No,Carcharhinidae,piscivore,Yes,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Carcharhiniformes,Elasmobranchii
No,Centropomidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Carangiformes,Actinopterygii
Yes,Chaetodontidae,omnivore_carnivore,No,demersal,Yes,Not cryptobenthic,Marine,No,No,No,Yes,Acanthuriformes,Actinopterygii
No,Characidae,NA,NA,NA,NA,Not cryptobenthic,Freshwater,NA,NA,NA,NA,Characiformes,Actinopterygii
No,Cirrhitidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Centrarchiformes,Actinopterygii
No,Cynoglossidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Carangiformes,Actinopterygii
No,Dasyatidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Myliobatiformes,Elasmobranchii
No,Diodontidae,omnivore_carnivore,No,demersal,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Tetraodontiformes,Actinopterygii
No,Eleotridae,piscivore,Yes,demersal,NA,Not cryptobenthic,Estuarine,NA,NA,NA,NA,Gobiiformes,Actinopterygii
No,Elopidae,piscivore,Yes,pelagic,NA,Not cryptobenthic,Marine,NA,NA,NA,NA,Elopiformes,Actinopterygii
