Family,Species,Type,Locality,a,b
Atherinopsidae,Atherinella blackburni,TL,Piraque-acu and Piraque-mirim rivers / 2008-2009.,0.0041,3.16
Pomacentridae,Azurina atrilobata,TL,"Bahía de La Paz (24°06'-24°48'N; 110°15'-110°39'W), Gulf of California, 2000-2003",0.00523,3.416
Sciaenidae,Bairdiella ronchus,TL,Southern coast,0.00778,3.14
Sciaenidae,Bairdiella ronchus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0083,3.1518
Sciaenidae,Bairdiella ronchus,TL,"Espirito Santo (0°S - 25°S), 2003-2004",0.00506,3.364
Sciaenidae,Bairdiella ronchus,TL,"Pernambuco (0°S - 25°S), 2003-2004",0.0114,2.962
Sciaenidae,Bairdiella ronchus,TL,"Ilha de Paciência, Maranhão, 2006-2007",0.0467,2.565
Sciaenidae,Bairdiella ronchus,TL,Parana´ state coast / 2004 - 2005,0.0057,3.11
Sciaenidae,Bairdiella ronchus,TL,Grand Cul-de-Sac Marin Bay.,0.0021,3.589
Sciaenidae,Bairdiella ronchus,TL,Southeastern coast / 2004-2006.,0.00616,3.235
Sciaenidae,Bairdiella ronchus,TL,Southeastern coast / 2004-2006.,0.00693,3.141
Sciaenidae,Bairdiella ronchus,TL,Ubatuba-Enseada Bay / 2003-2004,0.008,3.136
Sciaenidae,Bairdiella ronchus,TL,"Terminos Lagoon, Campeche / 2006-2008",0.0078,3.1711
Sciaenidae,Bairdiella ronchus,TL,Pernambuco / 2011-2014.,0.0043,3.38
Sciaenidae,Bairdiella ronchus,TL,Pernambuco / 2011-2014.,0.0061,3.24
Sciaenidae,Bairdiella ronchus,TL,Pernambuco / 2011-2014.,0.005,3.33
Gobiidae,Bathygobius mystacium,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.0114,2.94
Gobiidae,Bathygobius soporator,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.0109,3.08
Gobiidae,Bathygobius soporator,TL,"Ologe Lagoon, 3° 2'E to 3° 7'E; 6°27'N to 6°30'N, 2007",0.019,2.744
Gobiidae,Bathygobius soporator,TL,"Marica, Sacuarema, Araruama coastal lagoons, South western Brazil / 2011.",0.01,3.117
Gobiidae,Bathygobius soporator,TL,Pernambuco / 2011-2014.,0.0088,3.16
Gobiidae,Bathygobius soporator,TL,"Santa Catarina (Saco da Frazenda, 1997-1998)",0.0178,2.93
