Family,Species,Type,Locality,a,b
Gerreidae,Diapterus auratus,TL,"Pernambuco (0°S - 25°S), 2003-2004",0.00691,3.241
Gerreidae,Diapterus auratus,TL,"Espirito Santo (0°S - 25°S), 2003-2004",0.00959,3.109
Gerreidae,Diapterus auratus,TL,"Gulf of Mexico, Veracruz, and Yucatán, 2006-09",0.004,3.79
Gerreidae,Diapterus auratus,TL,Pernambuco / 2011-2014.,0.0139,2.98
Gerreidae,Diapterus auratus,TL,Pernambuco / 2011-2014.,0.0145,2.96
Gerreidae,Diapterus auratus,TL,Pernambuco / 2011-2014.,0.0095,3.09
Gerreidae,Diapterus brevirostris,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.019,2.853
Gerreidae,Diapterus brevirostris,TL,"Gulf of California, Mazatlán, Nayarit, and Acapulco, 2006-09",0.017,3.21
Gerreidae,Diapterus rhombeus,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.0145,3.028
Gerreidae,Diapterus rhombeus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0089,3.1866
Gerreidae,Diapterus rhombeus,TL,"Espirito Santo (0°S - 25°S), 2003-2004",0.00685,3.272
Gerreidae,Diapterus rhombeus,TL,"Pernambuco (0°S - 25°S), 2003-2004",0.0109,2.97
Gerreidae,Diapterus rhombeus,TL,"Ilha de Paciência, Maranhão, 2006-2007",0.0176,3.12
Gerreidae,Diapterus rhombeus,TL,"Southeastern region, 1995-1996",0.0125,3.03
Gerreidae,Diapterus rhombeus,TL,Parana´ state coast / 2004 - 2005,0.00342,3.4
Gerreidae,Diapterus rhombeus,TL,"Marica, Sacuarema, Araruama coastal lagoons, South western Brazil / 2011.",0.012,2.902
Gerreidae,Diapterus rhombeus,TL,Southeastern coast / 2004-2006.,0.00692,3.135
Gerreidae,Diapterus rhombeus,TL,Southeastern coast / 2004-2006.,0.0072,3.112
Gerreidae,Diapterus rhombeus,TL,Southeastern coast / 2004-2006.,0.00849,3.228
Gerreidae,Diapterus rhombeus,TL,Southeastern coast / 2004-2006.,0.06242,2.476
Gerreidae,Diapterus rhombeus,TL,"Terminos Lagoon, Campeche / 2006-2008",0.0119,3.041
Gerreidae,Diapterus rhombeus,TL,Guaratiba Mangrove / 2002-2003,0.0098,2.92
Gerreidae,Diapterus rhombeus,TL,Pernambuco / 2011-2014.,0.023,2.83
Gerreidae,Diapterus rhombeus,TL,Pernambuco / 2011-2014.,0.0197,2.84
Gerreidae,Diapterus rhombeus,TL,Pernambuco / 2011-2014.,0.01,3.1
Serranidae,Diplectrum bivittatum,TL,Northeastern Brazilian coast / 2013-2014.,0.0025,3.5964
Serranidae,Diplectrum eumelum,TL,"Jalisco and Colima, 1995-96",0.0067,3.25
Serranidae,Diplectrum euryplectrum,TL,"Jalisco and Colima, 1995-96",0.011,3.05
Serranidae,Diplectrum formosum,TL,Rio Grande do Sul (28°-34°S),0.00389,3.433
Serranidae,Diplectrum formosum,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.00537,3.282
Serranidae,Diplectrum formosum,TL,"Southeastern region, 1995-1996",0.0038,3.38
Serranidae,Diplectrum labarum,TL,"Jalisco and Colima, 1995-96",0.0141,2.97
Serranidae,Diplectrum labarum,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.013,2.959
Serranidae,Diplectrum macropoma,TL,continental coast / 2012-2014,0.0043,3.3805
Serranidae,Diplectrum maximum,TL,Baja California Sur / 2004 - 2006,0.006,3.301
Serranidae,Diplectrum pacificum,TL,Baja California Sur / 2004 - 2006,0.003,3.535
Serranidae,Diplectrum pacificum,TL,Bahia Magdalena-Almejas lagoon system / 2014-2015.,0.005,3.246
Serranidae,Diplectrum radiale,TL,Rio Grande do Sul (28°-34°S),0.01631,2.976
Serranidae,Diplectrum radiale,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.00315,3.488
Serranidae,Diplectrum radiale,TL,"Paraná (0°S - 25°S), 2003-2004",0.0107,3.067
Serranidae,Diplectrum radiale,TL,"Southeastern region, 1995-1996",0.0071,3.22
Serranidae,Diplectrum radiale,TL,Parana´ state coast / 2004 - 2005,0.00677,3.06
Serranidae,Diplectrum radiale,TL,Southeastern coast / 2004-2006.,0.01928,2.881
Serranidae,Diplectrum rostrum,TL,"Jalisco and Colima, 1995-96",0.009,3.1
Carangidae,Elagatis bipinnulata,TL,"Java Sea, north of Madura Island / 2016-2016",0.016,2.754
Sciaenidae,Elattarchus archidium,TL,"near mouth of Rio Verde, Oaxaca / 2009-2010.",0.0066,3.14
Muraenidae,Echidna nebulosa,TL,NA,0.00116,3
Muraenidae,Echidna nebulosa,TL,Taiwan waters / 2003-2008.,0.00059,3.19
Muraenidae,Echidna nebulosa,TL,Taiwan waters / 2003-2008.,1.00E-04,3.65
Muraenidae,Echidna nebulosa,TL,Taiwan waters / 2003-2008.,1.00E-04,3.64
Muraenidae,Enchelycore lichenosa,TL,Taiwan waters / 2003-2008.,0.00062,3.16
Muraenidae,Enchelycore nigricans,TL,NA,0.00173,3
Muraenidae,Enchelynassa canina,TL,NA,0.00143,3
Sciaenidae,Eques lanceolatus,TL,Southern Florida,0.00109,3.844
Lutjanidae,Etelis oculatus,TL,"Central coast, 1993-2000",0.0128,2.908
Lutjanidae,Etelis oculatus,TL,Lesser Antilles,0.03006,2.8147
Gerreidae,Eucinostomus argenteus,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.00304,3.135
Gerreidae,Eucinostomus argenteus,TL,"Central coast, 1993-2000",0.0113,3.045
Gerreidae,Eucinostomus argenteus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0121,2.9855
Gerreidae,Eucinostomus argenteus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0081,3.1428
Gerreidae,Eucinostomus argenteus,TL,"Espirito Santo (0°S - 25°S), 2003-2004",0.00791,3.196
Gerreidae,Eucinostomus argenteus,TL,"Paraná (0°S - 25°S), 2003-2004",0.00807,3.175
Gerreidae,Eucinostomus argenteus,TL,"Southeastern region, 1995-1996",0.0106,3.03
Gerreidae,Eucinostomus argenteus,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.00825,3.16
Gerreidae,Eucinostomus argenteus,TL,Parana´ state coast / 2004 - 2005,0.00502,3.18
Gerreidae,Eucinostomus argenteus,TL,"Gulf of Mexico, Veracruz, and Yucatán, 2006-09",0.008,3.38
Gerreidae,Eucinostomus argenteus,TL,"Marica, Sacuarema, Araruama coastal lagoons, South western Brazil / 2011.",0.009,3.031
Gerreidae,Eucinostomus argenteus,TL,Southeastern coast / 2004-2006.,0.01637,2.917
Gerreidae,Eucinostomus argenteus,TL,"Terminos Lagoon, Campeche / 2006-2008",0.0084,3.0047
Gerreidae,Eucinostomus argenteus,TL,Guaratiba Mangrove / 2002-2003,0.0112,2.9
Gerreidae,Eucinostomus argenteus,TL,Pernambuco / 2011-2014.,0.009,3.11
Gerreidae,Eucinostomus argenteus,TL,Pernambuco / 2011-2014.,0.0102,3.06
Gerreidae,Eucinostomus argenteus,TL,Pernambuco / 2011-2014.,0.0085,3.13
Gerreidae,Eucinostomus argenteus,TL,Itaipu/2001-2004,0.009,3.14
Gerreidae,Eucinostomus currani,TL,"Jalisco and Colima, 1995-96",0.0268,2.75
Gerreidae,Eucinostomus currani,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.007,3.254
Gerreidae,Eucinostomus currani,TL,"Gulf of California, Mazatlán, Nayarit, and Acapulco, 2006-09",0.013,3.18
Gerreidae,Eucinostomus currani,TL,Barra de Navidad lagoon / 2002-2003,0.008,3.14
Gerreidae,Eucinostomus dowii,TL,"Gulf of California, Mazatlán, Nayarit, and Acapulco, 2006-09",0.016,3.12
Gerreidae,Eucinostomus dowii,TL,Barra de Navidad lagoon / 2002-2003,0.0066,3.25
Gerreidae,Eucinostomus dowii,TL,Bahia Magdalena-Almejas lagoon system / 2014-2015.,0.008,3.17
Gerreidae,Eucinostomus entomelas,TL,"Gulf of California, Mazatlán, Nayarit, and Acapulco, 2006-09",0.019,3.03
Gerreidae,Eucinostomus entomelas,TL,continental coast / 2012-2014,0.0088,3.1265
Gerreidae,Eucinostomus gracilis,TL,"Jalisco and Colima, 1995-96",0.0051,3.33
Gerreidae,Eucinostomus gracilis,TL,"Gulf of California, Mazatlán, Nayarit, and Acapulco, 2006-09",0.014,3.19
Gerreidae,Eucinostomus gracilis,TL,Bahia Magdalena-Almejas lagoon system / 2014-2015.,0.012,3.027
Gerreidae,Eucinostomus gracilis,TL,continental coast / 2012-2014,0.0046,3.3525
Gerreidae,Eucinostomus gula,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.00518,3.366
Gerreidae,Eucinostomus gula,TL,"Central coast, 1993-2000",0.0124,3.015
Gerreidae,Eucinostomus gula,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0144,2.9744
Gerreidae,Eucinostomus gula,TL,"Espirito Santo (0°S - 25°S), 2003-2004",0.00623,3.303
Gerreidae,Eucinostomus gula,TL,"Paraná (0°S - 25°S), 2003-2004",0.00807,3.175
Gerreidae,Eucinostomus gula,TL,southern Bahia / 2003-2005,0.0128,2.978
Gerreidae,Eucinostomus gula,TL,southern Bahia / 2003-2005,0.0296,2.644
Gerreidae,Eucinostomus gula,TL,southern Bahia / 2003-2005,0.0115,3.026
Gerreidae,Eucinostomus gula,TL,"Gulf of Mexico, Veracruz, and Yucatán, 2006-09",0.035,2.83
Gerreidae,Eucinostomus gula,TL,"Marica, Sacuarema, Araruama coastal lagoons, South western Brazil / 2011.",0.008,3.178
Gerreidae,Eucinostomus gula,TL,"Terminos Lagoon, Campeche / 2006-2008",0.0125,3.0348
Gerreidae,Eucinostomus gula,TL,Guaratiba Mangrove / 2002-2003,0.0069,3.16
Gerreidae,Eucinostomus gula,TL,Pernambuco / 2011-2014.,0.0099,3.12
Gerreidae,Eucinostomus gula,TL,Pernambuco / 2011-2014.,0.0101,3.12
Gerreidae,Eucinostomus gula,TL,Pernambuco / 2011-2014.,0.0072,3.26
Gerreidae,Eucinostomus havana,TL,Pernambuco / 2011-2014.,0.0111,3.04
Gerreidae,Eucinostomus jonesii,TL,"Gulf of Mexico, Veracruz, and Yucatán, 2006-09",0.092,2.65
Gerreidae,Eucinostomus melanopterus,TL,Qua Iboe estuary,0.0128,2.91
Gerreidae,Eucinostomus melanopterus,TL,"Northern region (Curuçá Estuary), Pará, 2003-2004.",0.0162,2.92
Gerreidae,Eucinostomus melanopterus,TL,"Espirito Santo (0°S - 25°S), 2003-2004",0.0108,3.042
Gerreidae,Eucinostomus melanopterus,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.0109,3.03
Gerreidae,Eucinostomus melanopterus,TL,"Gulf of Mexico, Veracruz, and Yucatán, 2006-09",0.006,3.62
Gerreidae,Eucinostomus melanopterus,TL,Grand Cul-de-Sac Marin Bay.,0.0111,3.034
Gerreidae,Eucinostomus melanopterus,TL,Guaratiba Mangrove / 2002-2003,0.0097,2.84
Gerreidae,Eucinostomus melanopterus,TL,Couffo River/2018-2021,0.01,3.091
Gerreidae,Eucinostomus melanopterus,TL,Nokoué and Porto-Novo Lagoon / 2015-2016.,0.011,3.08
Gerreidae,Eugerres axillaris,TL,"Gulf of California, Mazatlán, Nayarit, and Acapulco, 2006-09",0.053,2.58
Gerreidae,Eugerres brasilianus,TL,"Central coast, 1993-2000",0.0309,2.686
Gerreidae,Eugerres brasilianus,TL,Grand Cul-de-Sac Marin Bay.,0.0097,3.094
Gerreidae,Eugerres lineatus,TL,"Gulf of California, Mazatlán, Nayarit, and Acapulco, 2006-09",0.061,2.71
Gerreidae,Eugerres plumieri,TL,"Gulf of Mexico, Veracruz, and Yucatán, 2006-09",0.048,2.93
Gerreidae,Eugerres plumieri,TL,Grand Cul-de-Sac Marin Bay.,0.0074,3.174
Gerreidae,Eugerres plumieri,TL,Grand Cul-de-Sac Marin Bay.,0.0129,2.999
Gerreidae,Eugerres plumieri,TL,"Terminos Lagoon, Campeche / 2006-2008",0.0113,3.0729
Carangidae,Euprepocaranx dorsalis,TL,continental coast / 2012-2014,0.0368,2.6995
Gerreidae,Gerres cinereus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0158,2.9092
Gerreidae,Gerres cinereus,TL,"Gulf of California, Mazatlán, Nayarit, and Acapulco, 2006-09",0.029,2.82
Gerreidae,Gerres cinereus,TL,"near mouth of Rio Verde, Oaxaca / 2009-2010.",0.0282,2.74
Gerreidae,Gerres simillimus,TL,Barra de Navidad lagoon / 2002-2003,0.0098,3.07
Muraenidae,Gymnothorax ocellatus,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.00015,3.617
Muraenidae,Gymnothorax ocellatus,TL,"Espirito Santo (0°S - 25°S), 2003-2004",0.00027,3.446
Muraenidae,Gymnothorax ocellatus,TL,"Southeastern region, 1995-1996",1.00E-04,3.69
Muraenidae,Gymnothorax panamensis,TL,"Bahía de La Paz (24°06'-24°48'N; 110°15'-110°39'W), Gulf of California, 2000-2003",0.00065,3.218
Carangidae,Gnathanodon speciosus,TL,Palawan / 1998-2014,0.359,2.14
Carangidae,Gnathanodon speciosus,TL,"Western Australia: Gascoyne Coast, 2011-2016.",0.02684,2.7756
Carangidae,Gnathanodon speciosus,TL,"Western Australia: Statewide, 2011-2016.",0.03429,2.7091
Carangidae,Gnathanodon speciosus,TL,"Western Australia: North Coast, 2011-2016.",0.04346,2.6469
Carangidae,Gnathanodon speciosus,TL,"Ras El-Kheima, Umm Al-Qwain, Ajman and Sharjah/2014",0.01985,2.8613
Gobiidae,Gnatholepis thompsoni,TL,Southern Florida,0.00351,3.766
Gobiidae,Gobioides broussonnetii,TL,"Golfão Maranhense, Brazilian Amazon littoral region / 2016.",0.0014,3.46
Gobiidae,Gobionellus microdon,TL,"Huizache-Caimanero lagoon, 1975-76",0.00508,2.938
Gobiidae,Gobionellus microdon,TL,Barra de Navidad lagoon / 2002-2003,0.0058,2.87
Gobiidae,Gobionellus oceanicus,TL,"Pará (0°S - 25°S), 2003-2004",0.00504,2.892
Gobiidae,Gobionellus oceanicus,TL,Grand Cul-de-Sac Marin Bay.,0.0082,2.679
Gobiidae,Gobionellus oceanicus,TL,"Marica, Sacuarema, Araruama coastal lagoons, South western Brazil / 2011.",0.005,2.87
Gobiidae,Gobionellus oceanicus,TL,Pernambuco / 2011-2014.,0.0061,2.87
Muraenidae,Gymnomuraena zebra,TL,Taiwan waters / 2003-2008.,5.00E-05,3.76
Muraenidae,Gymnothorax buroensis,TL,NA,0.00206,3
Muraenidae,Gymnothorax buroensis,TL,Taiwan waters / 2003-2008.,0.00095,3.24
Muraenidae,Gymnothorax buroensis,TL,Taiwan waters / 2003-2008.,0.00083,3.28
Muraenidae,Gymnothorax conspersus,TL,Rio Grande do Sul (28°-34°S),0.00035,3.254
Muraenidae,Gymnothorax equatorialis,TL,continental coast / 2012-2014,7.00E-04,3.149
Muraenidae,Gymnothorax flavimarginatus,TL,NA,4.00E-04,3.35
Muraenidae,Gymnothorax flavimarginatus,TL,Taiwan waters / 2003-2008.,0.00013,3.61
Muraenidae,Gymnothorax flavimarginatus,TL,Taiwan waters / 2003-2008.,0.00016,3.58
Muraenidae,Gymnothorax flavimarginatus,TL,Taiwan waters / 2003-2008.,0.00026,3.46
Muraenidae,Gymnothorax funebris,TL,Southern Florida,0.00409,2.856
Muraenidae,Gymnothorax funebris,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.00071,3.24
Muraenidae,Gymnothorax funebris,TL,Grand Cul-de-Sac Marin Bay.,2.00E-04,3.471
Muraenidae,Gymnothorax javanicus,TL,Taiwan waters / 2003-2008.,0.00071,3.19
Muraenidae,Gymnothorax maderensis,TL,"Madeira archipelago, eastern-central Atlantic, 1997, 2004-05",0.002,3
Muraenidae,Gymnothorax miliaris,TL,Southern Florida,0.0109,2.574
Muraenidae,Gymnothorax moringa,TL,Southern Florida,0.001,3.158
Muraenidae,Gymnothorax moringa,TL,"Central coast, 1993-2000",3.00E-04,3.431
Muraenidae,Gymnothorax moringa,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.00102,3.07
Muraenidae,Gymnothorax nigromarginatus,TL,Southern Florida,0.00332,2.839
Muraenidae,Gymnothorax pictus,TL,NA,0.00178,3
Muraenidae,Gymnothorax pictus,TL,Taiwan waters / 2003-2008.,0.00023,3.47
Muraenidae,Gymnothorax pictus,TL,Taiwan waters / 2003-2008.,0.00115,3.06
Muraenidae,Gymnothorax pictus,TL,Taiwan waters / 2003-2008.,0.00041,3.32
Labridae,Halichoeres bivittatus,TL,Southern Florida,0.0134,2.939
Labridae,Halichoeres bivittatus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0105,3.0933
Muraenidae,Gymnothorax porphyreus,TL,2009-2010,0.00127,3.07
Muraenidae,Gymnothorax undulatus,TL,NA,0.00164,3
Muraenidae,Gymnothorax undulatus,TL,Taiwan waters / 2003-2008.,0.00129,3.08
Muraenidae,Gymnothorax vicinus,TL,Southern Florida,0.00425,2.876
Muraenidae,Gymnothorax vicinus,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.00055,3.24
Muraenidae,Gymnothorax vicinus,TL,Cape Verde Archipelago / 2008-2013,0.0014,3.0368
Haemulidae,Haemulon aurolineatum,TL,Southeastern coast,0.0106,3.09
Haemulidae,Haemulon aurolineatum,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0101,3.0813
Haemulidae,Haemulon bonariense,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0123,3.1091
Haemulidae,Haemulon flavolineatum,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.013,3.034
Haemulidae,Haemulon maculicauda,TL,"Jalisco and Colima, 1995-96",0.0089,3.16
Haemulidae,Haemulon parra,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.0106,3.18
Haemulidae,Haemulon plumierii,TL,North and South Carolina,0.0152,3.02
Haemulidae,Haemulon plumierii,TL,"Central coast, 1993-2000",0.0335,2.772
Haemulidae,Haemulon plumierii,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0143,3.0502
Haemulidae,Haemulon plumierii,TL,Pernambuco / 2011-2014.,0.0167,2.98
Haemulidae,Haemulon sciurus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0139,3.0742
Haemulidae,Haemulon steindachneri,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.0098,3.124
Haemulidae,Haemulon steindachneri,TL,"Southeastern region, 1995-1996",0.0103,3.15
Haemulidae,Haemulopsis axillaris,TL,"Jalisco and Colima, 1995-96",0.0131,3.03
Haemulidae,Haemulopsis axillaris,TL,Bahia de Matanchen / 2013-2014,0.0127,3.034
Haemulidae,Haemulopsis axillaris,TL,Bahia Magdalena-Almejas lagoon system / 2014-2015.,0.023,2.879
Haemulidae,Haemulopsis axillaris,TL,continental coast / 2012-2014,0.0083,3.1576
Haemulidae,Haemulopsis corvinaeformis,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.00963,3.144
Haemulidae,Haemulopsis corvinaeformis,TL,"Paraná (0°S - 25°S), 2003-2004",0.008,3.237
Haemulidae,Haemulopsis corvinaeformis,TL,"Ilha de Paciência, Maranhão, 2006-2007",0.0104,3.242
Haemulidae,Haemulopsis corvinaeformis,TL,"Southeastern region, 1995-1996",0.0139,2.99
Haemulidae,Haemulopsis corvinaeformis,TL,southern Bahia / 2003-2005,0.0199,2.777
Haemulidae,Haemulopsis corvinaeformis,TL,Parana´ state coast / 2004 - 2005,0.00591,3.14
Haemulidae,Haemulopsis corvinaeformis,TL,Southeastern coast / 2004-2006.,0.00855,3.194
Haemulidae,Haemulopsis corvinaeformis,TL,Southeastern coast / 2004-2006.,0.02348,2.81
Haemulidae,Haemulopsis corvinaeformis,TL,Southeastern coast / 2004-2006.,0.00951,3.152
Haemulidae,Haemulopsis corvinaeformis,TL,Southeastern coast / 2004-2006.,0.01006,3.137
Haemulidae,Haemulopsis corvinaeformis,TL,Ubatuba-Enseada Bay / 2003-2004,0.009,3.173
Haemulidae,Haemulopsis corvinaeformis,TL,Pernambuco / 2011-2014.,0.0106,3.09
Haemulidae,Haemulopsis corvinaeformis,TL,Pernambuco / 2011-2014.,0.0108,3.09
Haemulidae,Haemulopsis corvinaeformis,TL,Pernambuco / 2011-2014.,0.0093,3.15
Haemulidae,Haemulopsis elongatus,TL,Baja California Sur / 2004 - 2006,0.048,2.737
Haemulidae,Haemulopsis elongatus,TL,"near mouth of Rio Verde, Oaxaca / 2009-2010.",0.012,2.99
Haemulidae,Haemulopsis leuciscus,TL,NA,0.0164,3
Haemulidae,Haemulopsis leuciscus,TL,"near mouth of Rio Verde, Oaxaca / 2009-2010.",0.0061,3.21
Labridae,Halichoeres garnoti,TL,Southern Florida,0.00519,3.375
Labridae,Halichoeres maculipinna,TL,Southern Florida,0.00276,3.693
Labridae,Halichoeres poeyi,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0095,3.1311
Labridae,Halichoeres poeyi,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.00928,3.07
Labridae,Halichoeres radiatus,TL,Southern Florida,0.0131,3.038
Dorosomatidae,Harengula clupeola,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.00689,3.181
Dorosomatidae,Harengula clupeola,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0055,3.3177
Dorosomatidae,Harengula clupeola,TL,"Southeastern region, 1995-1996",0.0054,3.24
Dorosomatidae,Harengula clupeola,TL,Parana´ state coast / 2004 - 2005,0.00473,3.2
Dorosomatidae,Harengula clupeola,TL,Grand Cul-de-Sac Marin Bay.,0.0011,3.851
Dorosomatidae,Harengula clupeola,TL,Southeastern coast / 2004-2006.,0.00977,3.035
Dorosomatidae,Harengula clupeola,TL,Southeastern coast / 2004-2006.,0.0143,2.895
Dorosomatidae,Harengula clupeola,TL,Guaratiba Mangrove / 2002-2003,0.0049,3.24
Dorosomatidae,Harengula clupeola,TL,Itaipu/2001-2004,0.007,3.22
Dorosomatidae,Harengula humeralis,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0094,3.006
Carangidae,Hemicaranx leucurus,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.017,2.759
Carangidae,Hemicaranx leucurus,TL,"near mouth of Rio Verde, Oaxaca / 2009-2010.",0.0268,2.72
Carangidae,Hemicaranx zelotes,TL,continental coast / 2012-2014,0.0086,2.9988
Hemiramphidae,Hemiramphus brasiliensis,TL,Southern Florida,0.105,2.356
Hemiramphidae,Hemiramphus brasiliensis,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0017,3.1717
Hemiramphidae,Hemiramphus saltator,TL,continental coast / 2012-2014,0.0226,2.4046
Priacanthidae,Heteropriacanthus cruentatus,TL,2009-2013,0.026,2.84
Priacanthidae,Heteropriacanthus cruentatus,TL,Bay of Bengal and Andaman waters / 2010.,0.0145,2.93
Pomacanthidae,Holacanthus bermudensis,TL,Southern Florida,0.0319,2.899
Pomacanthidae,Holacanthus ciliaris,TL,Southern Florida,0.0336,2.9
Pomacanthidae,Holacanthus passer,TL,"Bahía de La Paz (24°06'-24°48'N; 110°15'-110°39'W), Gulf of California, 2000-2003",0.0271,3.084
Pomacanthidae,Holacanthus passer,TL,National Park Loreto Bay / 2009-2009,0.108,2.618
Pomacanthidae,Holacanthus tricolor,TL,Southern Florida,0.0428,2.858
Pomacanthidae,Holacanthus tricolor,TL,Southwestern EEZ of Brazil.,0.0203,3.126
Lutjanidae,Hoplopagrus guentherii,TL,NA,0.0228,3
Serranidae,Hypoplectrus puella,TL,Southwest Zone,0.009,3.04
Hemiramphidae,Hyporhamphus roberti,TL,"Northern region (Curuçá Estuary), Pará, 2003-2004",6.00E-04,3.54
Hemiramphidae,Hyporhamphus unifasciatus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0012,3.2616
Hemiramphidae,Hyporhamphus unifasciatus,TL,"Marica, Sacuarema, Araruama coastal lagoons, South western Brazil / 2011.",0.001,3.23
Blenniidae,Hypsoblennius sordidus,TL,Northern and central coast of Chile/ 2004-2005; 2012-2013.,0.0339,2.541
Sciaenidae,Isopisthus parvipinnis,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.00814,3.056
Sciaenidae,Isopisthus parvipinnis,TL,"Ilhéus, Bahia, 2003-2005",0.0145,2.86
Sciaenidae,Isopisthus parvipinnis,TL,"Southeastern region, 1995-1996",0.0071,3.1
Sciaenidae,Isopisthus parvipinnis,TL,Parana´ state coast / 2004 - 2005,0.00496,3.13
Sciaenidae,Isopisthus parvipinnis,TL,Southeastern coast / 2004-2006.,0.00994,2.984
Sciaenidae,Isopisthus parvipinnis,TL,Southeastern coast / 2004-2006.,0.01579,2.797
Sciaenidae,Isopisthus parvipinnis,TL,Southeastern coast / 2004-2006.,0.00858,3.02
Sciaenidae,Isopisthus parvipinnis,TL,Southeastern coast / 2004-2006.,0.00987,2.973
Sciaenidae,Isopisthus parvipinnis,TL,Ubatuba-Enseada Bay / 2003-2004,0.005,3.236
Sciaenidae,Isopisthus parvipinnis,TL,Sergipe / 2015-2016.,0.0063,3.078
Sciaenidae,Isopisthus parvipinnis,TL,Pernambuco / 2011-2014.,0.0047,3.26
Sciaenidae,Isopisthus parvipinnis,TL,Pernambuco / 2011-2014.,0.0052,3.22
Sciaenidae,Isopisthus parvipinnis,TL,Pernambuco / 2011-2014.,0.0056,3.18
Sciaenidae,Isopisthus parvipinnis,TL,Northeastern Brazilian coast / 2013-2014.,0.005,3.1617
Chaetodontidae,Johnrandallia nigrirostris,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.021,3.215
Mugilidae,Joturus pichardi,TL,NA,0.0158,3
Labrisomidae,Labrisomus nuchipinnis,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.0084,3.2
Labridae,Lachnolaimus maximus,TL,"Campeche Bank, Yucatan / 2017-2018.",0.1401,2.43
Sciaenidae,Larimus acclivis,TL,Bahia de Matanchen / 2013-2014,0.0039,3.388
Sciaenidae,Larimus acclivis,TL,continental coast / 2012-2014,0.0033,3.4294
Sciaenidae,Larimus argenteus,TL,continental coast / 2012-2014,0.0088,3.0678
Sciaenidae,Larimus breviceps,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.00554,3.312
Sciaenidae,Larimus breviceps,TL,"Espirito Santo (0°S - 25°S), 2003-2004",0.00783,3.09
Sciaenidae,Larimus breviceps,TL,"Southeastern region, 1995-1996",0.0093,3.1
Sciaenidae,Larimus breviceps,TL,southern Bahia / 2003-2005,0.0104,3.029
Sciaenidae,Larimus breviceps,TL,Southeastern coast / 2004-2006.,0.00831,3.167
Sciaenidae,Larimus breviceps,TL,Southeastern coast / 2004-2006.,0.00657,3.256
Sciaenidae,Larimus breviceps,TL,Southeastern coast / 2004-2006.,0.00563,3.318
Sciaenidae,Larimus breviceps,TL,Southeastern coast / 2004-2006.,0.00742,3.206
Sciaenidae,Larimus breviceps,TL,Ubatuba-Enseada Bay / 2003-2004,0.004,3.201
